genres,movie_title,movie_id,movie_imdb_link
Action|Thriller,Jawan,tt15354916,https://www.imdb.com/title/tt15354916/?ref_=fn_tt_tt_1
Crime|Drama|Mystery,Jaane Jaan,tt15748830,https://www.imdb.com/title/tt15748830/?ref_=fn_tt_tt_1
Action|Comedy|Crime,Jailer,tt11663228,https://www.imdb.com/title/tt11663228/?ref_=fn_tt_tt_1
Comedy|Drama|Family,Rocky Aur Rani Kii Prem Kahaani,tt14993250,https://www.imdb.com/title/tt14993250/?ref_=fn_tt_tt_1
Comedy|Drama,OMG 2,tt15732324,https://www.imdb.com/title/tt15732324/?ref_=fn_tt_tt_1
Drama,Sukhee,tt18266472,https://www.imdb.com/title/tt18266472/?ref_=fn_tt_tt_1
Family,The Great Indian Family,tt18561736,https://www.imdb.com/title/tt18561736/?ref_=fn_tt_tt_1
Adventure|Family|Fantasy,The BFG,tt3691740,https://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1
Action|Adventure|Thriller,Pathaan,tt12844910,https://www.imdb.com/title/tt12844910/?ref_=fn_tt_tt_1
Action|Drama|History,Mastaney,tt15464390,https://www.imdb.com/title/tt15464390/?ref_=fn_tt_tt_1
Comedy|Drama,3 Idiots,tt1187043,https://www.imdb.com/title/tt1187043/?ref_=fn_tt_tt_1
Comedy|Drama|Musical,Satyaprem Ki Katha,tt14914988,https://www.imdb.com/title/tt14914988/?ref_=fn_tt_tt_1
Biography|Drama,Lion,tt3741834,https://www.imdb.com/title/tt3741834/?ref_=fn_tt_tt_1
Action|Drama,Bholaa Shankar,tt13131610,https://www.imdb.com/title/tt13131610/?ref_=fn_tt_tt_1
Crime|Drama,Haddi,tt22188452,https://www.imdb.com/title/tt22188452/?ref_=fn_tt_tt_1
Comedy|Drama,Friday Night Plan,tt28568397,https://www.imdb.com/title/tt28568397/?ref_=fn_tt_tt_1
Crime|Mystery|Thriller,Neeyat,tt21908676,https://www.imdb.com/title/tt21908676/?ref_=fn_tt_tt_1
Action|Adventure|Drama,Gadar 2,tt15441054,https://www.imdb.com/title/tt15441054/?ref_=fn_tt_tt_1
Action|Crime|Thriller,Por Thozhil,tt27542289,https://www.imdb.com/title/tt27542289/?ref_=fn_tt_tt_1
Adventure|Drama|Fantasy,Life of Pi,tt0454876,https://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1
Action|Biography|Drama,Asoka,tt0249371,https://www.imdb.com/title/tt0249371/?ref_=fn_tt_tt_1
Adventure|Comedy|Drama,The Darjeeling Limited,tt0838221,https://www.imdb.com/title/tt0838221/?ref_=fn_tt_tt_1
Action|Biography|Drama,Dangal,tt5074352,https://www.imdb.com/title/tt5074352/?ref_=fn_tt_tt_1
Drama|Fantasy|Horror,Tumbbad,tt8239946,https://www.imdb.com/title/tt8239946/?ref_=fn_tt_tt_1
Comedy|Drama,Dunki,tt15428134,https://www.imdb.com/title/tt15428134/?ref_=fn_tt_tt_1
Crime|Drama|Thriller,Sirf Ek Bandaa Kaafi Hai,tt24485052,https://www.imdb.com/title/tt24485052/?ref_=fn_tt_tt_1
Action|Comedy|Crime,Gangs of Wasseypur,tt1954470,https://www.imdb.com/title/tt1954470/?ref_=fn_tt_tt_1
Action|Biography|Crime,Khufiya,tt15433600,https://www.imdb.com/title/tt15433600/?ref_=fn_tt_tt_1
Action|Crime|Drama,Animal,tt13751694,https://www.imdb.com/title/tt13751694/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Miss Shetty Mr Polishetty,tt15891388,https://www.imdb.com/title/tt15891388/?ref_=fn_tt_tt_1
Action|Drama|Romance,Bawaal,tt19755170,https://www.imdb.com/title/tt19755170/?ref_=fn_tt_tt_1
Action|Adventure|Fantasy,Brahmastra Part One: Shiva,tt6277462,https://www.imdb.com/title/tt6277462/?ref_=fn_tt_tt_1
Drama|Sport,Ghoomer,tt20913276,https://www.imdb.com/title/tt20913276/?ref_=fn_tt_tt_1
Action|Adventure|Thriller,Tiger 3,tt18411490,https://www.imdb.com/title/tt18411490/?ref_=fn_tt_tt_1
