genres,movie_title,movie_id,movie_imdb_link
"Biography, Crime, Drama",Punjab '95,tt28089784,https://www.imdb.com/title/tt28089784/?ref_=fn_tt_tt_1
"Drama, Romance",Dosti: Friends Forever,tt0449228,https://www.imdb.com/title/tt0449228/?ref_=fn_tt_tt_1
"Action, Drama",Ziddi,tt0120551,https://www.imdb.com/title/tt0120551/?ref_=fn_tt_tt_1
Drama,Dushmun,tt0138411,https://www.imdb.com/title/tt0138411/?ref_=fn_tt_tt_1
"Biography, Drama",The Accidental Prime Minister,tt6986710,https://www.imdb.com/title/tt6986710/?ref_=fn_tt_tt_1
"Comedy, Romance",Preetam,tt0395715,https://www.imdb.com/title/tt0395715/?ref_=fn_tt_tt_1
"Action, Crime, Thriller",Drive,tt6593054,https://www.imdb.com/title/tt6593054/?ref_=fn_tt_tt_1
"Crime, Drama, History",Ajmer 92,tt27862531,https://www.imdb.com/title/tt27862531/?ref_=fn_tt_tt_1
Drama,Hindutva,tt15502162,https://www.imdb.com/title/tt15502162/?ref_=fn_tt_tt_1
"Biography, Drama",Shakuntala Devi,tt10964468,https://www.imdb.com/title/tt10964468/?ref_=fn_tt_tt_1
"Drama, Romance, Thriller",Anwar,tt0953306,https://www.imdb.com/title/tt0953306/?ref_=fn_tt_tt_1
"Action, Crime, Drama",Garv: Pride and Honour,tt0415003,https://www.imdb.com/title/tt0415003/?ref_=fn_tt_tt_1
Drama,The Storyteller,tt7782402,https://www.imdb.com/title/tt7782402/?ref_=fn_tt_tt_1
"Drama, Music, Romance",Mere Jeevan Saathi,tt0418880,https://www.imdb.com/title/tt0418880/?ref_=fn_tt_tt_1
"Animation, Action, Adventure",Kochadaiiyaan,tt2339505,https://www.imdb.com/title/tt2339505/?ref_=fn_tt_tt_1
"Action, Drama, Horror",Tahkhana,tt0260411,https://www.imdb.com/title/tt0260411/?ref_=fn_tt_tt_1
Action,Bombay,tt21357600,https://www.imdb.com/title/tt21357600/?ref_=fn_tt_tt_1
"Comedy, Drama, Family",King Uncle,tt0107321,https://www.imdb.com/title/tt0107321/?ref_=fn_tt_tt_1
"Action, Crime, Drama",Don,tt1169270,https://www.imdb.com/title/tt1169270/?ref_=fn_tt_tt_1
"Animation, Action, Fantasy",Chhota Bheem aur Krishna: Mayanagari,tt16235600,https://www.imdb.com/title/tt16235600/?ref_=fn_tt_tt_1
 ,Bedhadak,tt18377806,https://www.imdb.com/title/tt18377806/?ref_=fn_tt_tt_1
"Action, Crime, Drama",Yaara,tt3698454,https://www.imdb.com/title/tt3698454/?ref_=fn_tt_tt_1
"Comedy, Drama, Romance",De De Pyaar De,tt8647400,https://www.imdb.com/title/tt8647400/?ref_=fn_tt_tt_1
"Action, Drama, Romance",Malaal,tt10305616,https://www.imdb.com/title/tt10305616/?ref_=fn_tt_tt_1
Comedy,Match Of Life,tt8705332,https://www.imdb.com/title/tt8705332/?ref_=fn_tt_tt_1
Drama,Ek Betuke Aadmi Ki Afrah Raatein,tt7647774,https://www.imdb.com/title/tt7647774/?ref_=fn_tt_tt_1
"Comedy, Crime, Drama",Do Dooni Chaar,tt1714832,https://www.imdb.com/title/tt1714832/?ref_=fn_tt_tt_1
"Comedy, Drama, Family",Bhabhi,tt0172175,https://www.imdb.com/title/tt0172175/?ref_=fn_tt_tt_1
"Action, Crime, Drama",Badal,tt0247944,https://www.imdb.com/title/tt0247944/?ref_=fn_tt_tt_1
Action,Badla Sherni Ka,tt3807778,https://www.imdb.com/title/tt3807778/?ref_=fn_tt_tt_1
 ,Awara Pagal Deewana 2,tt27613132,https://www.imdb.com/title/tt27613132/?ref_=fn_tt_tt_1
Comedy,Badnaam Gali,tt10318332,https://www.imdb.com/title/tt10318332/?ref_=fn_tt_tt_1
"Action, Thriller",Vishwaroopam,tt2199711,https://www.imdb.com/title/tt2199711/?ref_=fn_tt_tt_1
"Drama, Romance",Unpaused,tt13491620,https://www.imdb.com/title/tt13491620/?ref_=fn_tt_tt_1
History,Vedaat Maratha Veer Daudale Saat,tt23220368,https://www.imdb.com/title/tt23220368/?ref_=fn_tt_tt_1
